date,count
2015/06/26,21650
2015/06/27,5539
2015/06/28,9565
2015/06/29,20198
2015/06/30,16192
2015/07/01,13797
2015/07/02,22380
2015/07/03,173
2015/07/08,251
2015/07/09,7371
2015/07/10,30101
2015/07/11,9254
2015/07/13,19843
2015/07/14,29142
2015/07/15,30402
2015/07/16,24110
2015/07/17,17046
2015/07/18,6176
2015/07/19,13221
2015/07/20,14882
2015/07/21,9375
2015/07/22,5158
2015/07/23,18047
2015/07/24,18748
2015/07/25,3911
2015/07/26,13190
2015/07/27,10926
2015/07/28,11099
2015/07/29,12827
2015/07/30,30074
2015/07/31,25150
2015/08/01,8540
2015/08/02,1625
2015/08/03,14552
2015/08/04,14074
2015/08/05,4917
2015/08/06,17990
2015/08/07,17749
2015/08/08,19301
2015/08/09,2509
2015/08/10,12553
2015/08/11,1979
2015/08/12,10829
2015/08/13,7553
2015/08/14,8308
2015/08/15,20077
2015/08/16,20556
2015/08/17,9424
2015/08/18,11043
2015/08/19,21289
2015/08/20,2640
2015/08/21,12495
2015/08/22,12802
2015/08/23,15316
2015/08/24,21914
2015/08/25,14479
2015/08/26,6990
2015/08/27,26009
2015/08/28,3036
2015/08/29,1485
2015/08/30,3218
2015/08/31,10293
2015/09/01,4244
2015/09/02,6299
2015/09/03,1209
2015/09/05,1281
2015/09/06,1290
2015/09/07,9858
2015/09/08,10292
2015/09/09,10941
2015/09/10,28577
2015/09/11,11935
2015/09/12,8131
2015/09/13,4013
2015/09/14,11532
2015/09/15,17357
2015/09/16,16798
2015/09/17,5891
2015/09/18,19922
2015/09/19,11274
2015/09/20,9328
2015/09/21,2081
2015/09/22,9500
2015/09/23,18613
2015/09/24,28960
2015/09/25,15513
2015/09/26,8460
2015/09/27,3386
2015/09/28,16699
2015/09/29,21511
2015/09/30,11979
2015/10/01,8871
2015/10/02,13797
2015/10/03,8232
2015/10/04,1567
2015/10/05,1140
2015/10/06,14423
2015/10/07,5109
2015/10/08,17953
2015/10/09,5067
2015/10/10,3605
2015/10/11,10725
2015/10/12,12647
2015/10/13,3944
2015/10/14,5536
2015/10/15,15416
2015/10/16,4099
2015/10/17,12859
2015/10/18,6245
2015/10/19,16743
2015/10/20,16699
2015/10/21,17431
2015/10/22,20163
2015/10/23,21555
2015/10/24,15028
2015/10/25,11557
2015/10/26,9360
2015/10/27,20297
2015/10/28,8583
2015/10/29,24012
2015/10/30,2127
2015/10/31,10295
2015/11/01,29054
2015/11/02,23823
2015/11/03,23604
2015/11/04,11976
2015/11/05,13774
2015/11/06,15952
2015/11/07,12869
2015/11/08,2941
2015/11/26,10051
2015/11/27,10779
2015/11/28,10398
2015/11/29,4693
2015/11/30,13806
2015/12/01,10501
2015/12/02,4674
2015/12/03,23236
2015/12/04,7157
2015/12/05,3756
2015/12/06,12779
2015/12/07,30570
2015/12/08,21293
2015/12/09,6671
2015/12/10,9453
2015/12/11,3408
2015/12/12,1335
2015/12/13,3069
2015/12/14,3905
2015/12/15,10681
2015/12/16,5512
2015/12/17,20700
2015/12/18,27062
2015/12/21,193
2015/12/22,27
2016/01/08,13511
2016/01/09,8194
2016/01/10,22731
2016/01/11,10402
2016/01/12,13843
2016/01/13,8558
2016/01/14,1231
2016/01/16,4945
2016/01/17,15092
2016/01/18,10438
2016/01/19,12777
2016/01/20,16458
2016/01/21,17308
2016/01/22,16109
2016/01/23,9076
2016/01/24,16484
2016/01/25,20688
2016/01/26,22577
2016/01/27,17361
2016/01/28,6850
2016/01/29,11068
2016/01/30,22801
2016/01/31,24005
2016/02/01,2955
2016/02/02,13390
2016/02/03,18332
2016/02/04,18814
2016/02/05,28112
2016/02/06,14240
2016/02/08,34733
2016/02/09,27089
2016/02/10,15098
2016/02/11,14474
2016/02/17,11813
2016/02/18,12157
2016/02/19,11780
2016/02/20,9588
2016/02/21,4180
2016/02/22,5527
2016/03/01,2885
2016/03/02,12465
2016/03/03,14599
2016/03/04,10462
2016/03/05,7849
2016/03/06,5115
2016/03/07,11682
2016/03/08,4697
2016/03/09,9111
2016/03/14,3769
2016/03/15,4208
2016/03/16,2204
2016/03/17,13645
2016/03/18,20775
2016/03/19,5754
2016/03/20,2893
2016/03/22,16908
2016/03/23,5281
2016/03/24,14690
2016/03/25,27482
2016/03/27,3584
2016/03/28,13766
2016/03/29,3194
2016/03/30,2685
2016/03/31,17102
2016/04/01,26587
2016/04/02,3293
2016/04/03,11755
2016/04/04,24493
2016/04/05,20024
2016/04/06,3922
2016/04/07,13851
2016/04/08,13270
2016/04/09,7075
2016/04/10,14861
2016/04/11,9580
2016/04/12,12300
2016/04/13,1483
2016/04/14,13678
2016/04/15,16157
2016/04/16,1320
2016/04/17,17454
2016/04/18,18115
2016/04/19,20638
2016/04/20,12816
2016/04/21,20254
2016/04/22,25345
2016/04/24,7963
2016/04/25,17066
2016/04/26,13996
2016/04/27,19804
2016/04/28,23483
2016/04/29,25762
2016/04/30,10764
2016/05/01,12878
2016/05/02,9451
2016/05/03,12039
2016/05/04,16608
2016/05/05,17011
2016/05/06,11554
2016/05/07,5403
2016/05/08,10001
2016/05/09,9185
2016/05/10,15168
2016/05/11,10942
2016/05/12,14244
2016/05/13,18020
2016/05/14,7289
2016/05/15,3948
2016/05/16,16523
2016/05/17,13884
2016/05/18,20091
2016/05/19,13625
2016/05/20,19666
2016/05/21,4642
2016/05/22,6802
2016/05/23,9375
